id;start_date;end_date;language
1;2019-06-20T12:17:04;2019-06-20T05:25:22;FRENCH
2;2019-06-20T13:47:10;2019-06-19T22:53:20;FRENCH
3;2019-06-20T09:19:14;2019-06-20T00:43:14;FRENCH
4;2019-06-19T22:31:06;2019-06-20T05:58:07;FRENCH
5;2019-06-20T07:29:45;2019-06-20T12:13:53;FRENCH
6;2019-06-20T13:46:45;2019-06-20T15:03:41;FRENCH
7;2019-06-19T23:09:05;2019-06-20T11:49:52;FRENCH
8;2019-06-19T20:40:24;2019-06-20T04:40:33;FRENCH
9;2019-06-20T06:28:30;2019-06-20T14:53:08;FRENCH
10;2019-06-20T09:46:39;2019-06-20T07:02:54;FRENCH
